,Alcaldia,Colonia,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Cocina_equip,Gimnasio,Amueblado,Alberca,Terraza,Elevador,m2_construido,Baños,Recamaras,Lugares_estac,Precio_m2,Cluster Labels,Conglomerados,NivelSocioEconomico
0,La Magdalena Contreras,San Jerónimo Líndice,1.857685118,5.622804973,47.82131159,21.69379967,32.20292505,4.541025503,0.705162313,0.167437985,9.555907492,50.08134928,1,1,0,0,1,1,150,2,3,2,6500,1,MedioAlto,Medio
1,Tlahuac,Xochicalli ,1.536913337,4.49549339,46.56212056,20.04845108,26.77807249,5.035623674,0.957674682,0.096288565,9.610346519,52.74994473,1,0,0,0,0,0,51,1,2,1,1200,2,MedioBajo,Medio
2,Cuajimalpa,Bosques de las Lomas,1.550908649,5.758376509,44.36011892,18.8977341,24.41593758,4.172703474,0.428649601,0.061151295,6.675828044,39.64775501,1,1,0,0,1,1,305,3,3,3,17500,3,AltoBajo,Alto
3,Tlahuac,La Turba,1.536913337,4.49549339,46.56212056,20.04845108,26.77807249,5.035623674,0.957674682,0.096288565,9.610346519,52.74994473,0,0,0,0,0,0,42,1,2,1,1046.4,2,MedioBajo,Medio
4,Tlahuac,Miguel Hidalgo ,1.536913337,4.49549339,46.56212056,20.04845108,26.77807249,5.035623674,0.957674682,0.096288565,9.610346519,52.74994473,0,0,0,0,0,0,50,1,2,1,1195,2,MedioBajo,Medio
5,Tlahuac,Los Olivos ,1.536913337,4.49549339,46.56212056,20.04845108,26.77807249,5.035623674,0.957674682,0.096288565,9.610346519,52.74994473,0,0,0,0,0,0,80,1,2,1,387.66,2,MedioBajo,Medio
6,Miguel Hidalgo,Polanco,0.611027409,5.569241584,35.5429182,10.4994843,18.45722734,1.058462729,0.068490591,0.026193904,4.49714015,20.12386776,1,1,0,0,1,1,163,2,3,2,12738,3,AltoBajo,Alto
7,Alvaro Obregon,Jardines del Pedregal,1.339167466,5.683629831,42.85247393,17.83120804,23.73768817,3.189615113,0.282936656,0.026174133,6.976225541,36.60403866,1,1,0,0,1,1,144,2.5,3,2,7150,1,MedioAlto,Medio
8,Xochimilco,Santiago Tepalcatlalpan,2.300547234,4.569400517,46.6843621,21.301165,32.13841053,6.805506663,10.2097709,0.172422716,8.252036123,50.05516279,1,0,0,0,0,0,50,1,2,1,2950,1,MedioAlto,Medio
9,Venustiano Carranza,Moctezuma 2a Sección,1.024372742,6.37400969,43.62497337,16.35122504,28.24529055,2.280092264,0.055234173,0.03580462,8.154876925,39.08365943,1,0,0,0,0,0,64,1,2,0,950,2,MedioBajo,Medio
10,Xochimilco,Mártires de Rio Blanco,2.300547234,4.569400517,46.6843621,21.301165,32.13841053,6.805506663,10.2097709,0.172422716,8.252036123,50.05516279,1,0,0,0,1,0,87,1,3,1,1890,2,MedioBajo,Medio
11,Gustavo A. Madero,Guadalupe Tepeyac,1.399837678,4.985392208,40.21470855,18.20506477,25.42147819,2.923867139,0.295210496,0.048856571,9.532578887,43.85910774,1,0,0,0,0,0,83,1,3,0,622.45,2,MedioBajo,Medio
12,Gustavo A. Madero,Lindavista Sur,1.399837678,4.985392208,40.21470855,18.20506477,25.42147819,2.923867139,0.295210496,0.048856571,9.532578887,43.85910774,1,0,0,0,1,0,85,1,3,1,680,2,MedioBajo,Medio
13,Iztapalapa,Lomas Estrella,1.857685118,5.622804973,47.82131159,21.69379967,32.20292505,4.541025503,0.705162313,0.167437985,9.555907492,50.08134928,1,0,1,0,0,0,70,1,2,1,1849,2,MedioBajo,Medio
14,Coyoacan,Culhuacán,0.771833742,4.983508537,32.91477099,10.97406485,24.5511088,1.695343039,0.048384471,0.030823144,5.469806583,25.71402305,1,0,0,0,0,0,52,1,2,1,1490,2,MedioBajo,Medio
15,Miguel Hidalgo,Polanco,0.611027409,5.569241584,35.5429182,10.4994843,18.45722734,1.058462729,0.068490591,0.026193904,4.49714015,20.12386776,1,1,1,0,1,1,450,5,4,4,47200,0,AltoAlto,Alto
16,Alvaro Obregon,Universal,1.339167466,5.683629831,42.85247393,17.83120804,23.73768817,3.189615113,0.282936656,0.026174133,6.976225541,36.60403866,1,1,0,1,1,1,138,2,3,2,7129.3,1,MedioAlto,Medio
17,Coyoacan,Los Girasoles,0.771833742,4.983508537,32.91477099,10.97406485,24.5511088,1.695343039,0.048384471,0.030823144,5.469806583,25.71402305,1,0,0,0,0,0,68,1,2,1,2048.5,2,MedioBajo,Medio
18,Venustiano Carranza,Popular Rastro,1.024372742,6.37400969,43.62497337,16.35122504,28.24529055,2.280092264,0.055234173,0.03580462,8.154876925,39.08365943,1,0,0,0,0,0,55,1.5,2,1,455.487,2,MedioBajo,Medio
19,Venustiano Carranza,Popular Rastro,1.024372742,6.37400969,43.62497337,16.35122504,28.24529055,2.280092264,0.055234173,0.03580462,8.154876925,39.08365943,1,0,0,0,0,1,60,1,2,1,694.77,2,MedioBajo,Medio
20,Benito Juárez,Napoles,0.351537719,6.230001723,31.69590681,6.071808901,20.07138209,0.476854065,0.025016823,0.019991669,3.169090089,15.14962654,1,1,0,0,1,1,105,2,2,1,8087.045,1,MedioAlto,Medio
21,La Magdalena Contreras,San Jerónimo Líndice,1.857685118,5.622804973,47.82131159,21.69379967,32.20292505,4.541025503,0.705162313,0.167437985,9.555907492,50.08134928,1,1,0,0,1,1,170,2,3,3,6200,1,MedioAlto,Medio
22,Azcapotzalco,San Francisco Tetecala,0.962085555,5.968981133,38.9928995,15.50142067,20.60839823,1.83178199,0.458096977,0.03128955,7.574512784,35.21970538,1,0,0,0,0,0,50,1,2,1,1827.949,2,MedioBajo,Medio
23,Cuajimalpa,Lomas de Vista Hermosa,1.550908649,5.758376509,44.36011892,18.8977341,24.41593758,4.172703474,0.428649601,0.061151295,6.675828044,39.64775501,1,1,0,1,0,1,366,3.5,3,4,17666,3,AltoBajo,Alto
24,Alvaro Obregon,Paseo de las Lomas,1.339167466,5.683629831,42.85247393,17.83120804,23.73768817,3.189615113,0.282936656,0.026174133,6.976225541,36.60403866,1,1,0,1,1,1,146,3,2,2,8500,1,MedioAlto,Medio
25,Xochimilco,La Noria,2.300547234,4.569400517,46.6843621,21.301165,32.13841053,6.805506663,10.2097709,0.172422716,8.252036123,50.05516279,1,0,0,0,1,0,85,2,3,2,2950,1,MedioAlto,Medio
26,Azcapotzalco,El jaguey,0.962085555,5.968981133,38.9928995,15.50142067,20.60839823,1.83178199,0.458096977,0.03128955,7.574512784,35.21970538,1,0,0,0,0,1,57,1,2,1,2000,2,MedioBajo,Medio
27,Azcapotzalco,Obrero Popular,0.962085555,5.968981133,38.9928995,15.50142067,20.60839823,1.83178199,0.458096977,0.03128955,7.574512784,35.21970538,1,0,0,0,0,1,59,1,2,1,2180,2,MedioBajo,Medio
28,Iztapalapa,Santa Martha Acatitla,1.857685118,5.622804973,47.82131159,21.69379967,32.20292505,4.541025503,0.705162313,0.167437985,9.555907492,50.08134928,1,0,0,0,0,0,60,1,2,1,1150,2,MedioBajo,Medio
29,Xochimilco,San Lorenzo La Cebada,2.300547234,4.569400517,46.6843621,21.301165,32.13841053,6.805506663,10.2097709,0.172422716,8.252036123,50.05516279,1,0,0,0,0,0,69,2,3,1,1960,2,MedioBajo,Medio
30,Alvaro Obregon,Las Aguilas,1.339167466,5.683629831,42.85247393,17.83120804,23.73768817,3.189615113,0.282936656,0.026174133,6.976225541,36.60403866,1,1,0,0,1,1,112,2,3,2,4091,1,MedioAlto,Medio
31,Tlahuac,Villa Centroamericana,1.536913337,4.49549339,46.56212056,20.04845108,26.77807249,5.035623674,0.957674682,0.096288565,9.610346519,52.74994473,0,0,0,0,0,0,42,1,2,1,1046.4,2,MedioBajo,Medio
32,Tlahuac,Los olivos,1.536913337,4.49549339,46.56212056,20.04845108,26.77807249,5.035623674,0.957674682,0.096288565,9.610346519,52.74994473,1,0,0,0,0,0,44,1,2,1,695,2,MedioBajo,Medio
33,Alvaro Obregon,Lomas de los cedros,1.339167466,5.683629831,42.85247393,17.83120804,23.73768817,3.189615113,0.282936656,0.026174133,6.976225541,36.60403866,1,1,0,1,1,1,197,3.5,3,3,11312.978,3,AltoBajo,Alto
34,Iztacalco,Agrícola Pantitlan,1.131622927,4.465611975,41.42211791,16.97443716,26.9715019,2.917394265,0.073497157,0.051385442,7.678413919,39.09502462,1,0,0,0,1,0,70,1,2,1,649.845,2,MedioBajo,Medio
35,Tlahuac,Miguel Hidalgo ,1.536913337,4.49549339,46.56212056,20.04845108,26.77807249,5.035623674,0.957674682,0.096288565,9.610346519,52.74994473,1,0,0,0,0,0,51,1,2,1,1225,2,MedioBajo,Medio
36,Gustavo A. Madero,Bondojito,1.399837678,4.985392208,40.21470855,18.20506477,25.42147819,2.923867139,0.295210496,0.048856571,9.532578887,43.85910774,1,0,0,0,0,1,76,1,3,1,522.431,2,MedioBajo,Medio
37,Gustavo A. Madero,La Esmeralda,1.399837678,4.985392208,40.21470855,18.20506477,25.42147819,2.923867139,0.295210496,0.048856571,9.532578887,43.85910774,1,0,0,0,0,1,54,1,2,1,472.5,2,MedioBajo,Medio
38,Tlahuac,Zapotitla ,1.536913337,4.49549339,46.56212056,20.04845108,26.77807249,5.035623674,0.957674682,0.096288565,9.610346519,52.74994473,0,0,0,0,0,0,60,1,2,1,1018,2,MedioBajo,Medio
